Date,Open ,High ,Low ,Close 
3/21/2012,67297.24,67436.27,66762.19,66860.05
3/20/2012,67724.88,67724.88,66704.16,67295.56
3/19/2012,67684.53,68159.36,67546.64,67730.31
3/16/2012,67749.49,68152.89,67504.68,67684.13
3/15/2012,68259.35,68259.35,67458.08,67749.49
3/14/2012,68386.26,68969.99,67797.25,68257.22
3/13/2012,66385.8,68419.61,66385.8,68394.33
3/12/2012,66686.53,66686.53,65965.01,66384.76
3/9/2012,66908.01,67419.34,66679.16,66703.96
3/8/2012,66032.15,67271.64,66032.15,66908.39
3/7/2012,65123.38,66052.86,65123.38,66016.76
3/6/2012,66962.06,66962.06,64892.29,65114.15
3/5/2012,67782,67782,66755.76,66964.03
3/2/2012,66810.11,67790.71,66810.11,67781.6
3/1/2012,65811.96,66930.56,65811.96,66809.8
2/29/2012,65970.33,66661.66,65532.78,65811.73
2/28/2012,65244.89,66152.37,65240.13,65958.78
2/27/2012,65938.01,65953.72,65067.72,65241.49
2/24/2012,65819.62,66335.22,65819.62,65942.73
2/23/2012,66084.23,66328.56,65589.51,65819.62
2/22/2012,66204.96,66290.89,65850.86,66092.77
2/17/2012,66158.46,66561.97,65823.37,66203.5
2/16/2012,65364.12,66161.34,64798.3,66141.7
2/15/2012,65041.18,66003.69,65041.18,65368.49
2/14/2012,65699.38,65855.22,64825.86,65038.53
2/13/2012,63998.62,65713.45,63998.62,65691.53
2/10/2012,65525.47,65525.47,63879.92,63997.86
2/9/2012,65831.23,66323.77,65188.89,65530.49
2/8/2012,65917.69,66383.21,65647.07,65831.16
2/7/2012,65213.1,65944.38,64800.64,65917.02
2/6/2012,65216.83,65229.12,64743,65223.72
2/3/2012,64588.66,65619.18,64136.58,65217.37
2/2/2012,64568.51,64854.7,64224.18,64593.1
2/1/2012,63085.06,64567.18,63085.06,64567.18
